rolCausa,sentenciaTribunal,sentenciaCA,sentenciaCS
"190-2022",193151,null,null
"169-2023",192555,null,null
"152-2021",192475,null,null
"206-2022",192477,null,null
"62-2022",192338,null,null
"161-2022",192152,null,null
"184-2022",192203,null,null
"105-2020",191760,null,null
"127-2022",191669,null,null
"75-2020",191670,null,null
"61-2022",191527,null,null
"155-2022",191093,null,null
"232-2022",191118,null,null
"176-2022",190795,null,null
"63-2022",190709,null,null
"178-2020",190274,null,null
"151-2022",190088,null,null
"21-2022",189640,null,null
"129-2022",189648,null,null
"240-2021",189556,null,null
"28-2023",189022,null,null
"188-2022",188219,null,null
"287-2021",188148,null,null
"38-2023",187924,null,null
"173-2021",187854,null,null
"222-2021",187476,null,null
"15-2020",186955,null,null
"230-2021",186675,null,null
"298-2021",186584,null,null
"119-2023",186407,null,null
"248-2019",186225,null,null
"259-2021",186228,null,null
"231-2022",186036,null,null
"216-2021",185930,null,null
"364-2020",185647,null,null
"197-2020",185512,null,null
"42-2022",185121,null,null
"363-2020",184958,null,null
"160-2022",184899,null,null
"68-2022",184448,null,null
"345-2019",184446,null,null
"374-2019",184255,null,null
"32-2023",184160,null,null
"318-2020",183982,null,null
"65-2022",183772,null,null
"286-2020",183656,null,null
"60-2022",183553,null,null
"50-2018",183181,null,null
"54-2022",183063,null,null
"101-2022",183006,null,null
"10-2022",183004,null,null
"35-2022",182804,null,null
"34-2022",182805,null,null
"66-2022",182316,null,null
"333-2020",182306,null,null
"9-2022",182096,null,null
"321-2020",181721,null,null
"290-2020",181554,null,null
"20-2022",181471,null,null
"53-2020",181472,null,null
"176-2020",181354,null,null
"2-2023",180949,null,null
"345-2020",180861,null,null
"154-2022",180797,null,null
"339-2019",180696,null,null
"29-2022",180410,null,null
"7-2020",180295,null,null
"375-2019",180229,null,null
"43-2022",180016,null,null
"364-2019",179861,null,null
"115-2022",179791,null,null
"78-2022",179701,null,null
"1-2022",179700,null,null
"144-2022",179703,null,null
"146-2022",179291,null,null
"27-2022",179039,null,null
"179-2022",179012,null,null
"311-2020",178877,null,null
"85-2020",178751,null,null
"148-2022",178341,null,null
"46-2022",178340,null,null
"40-2022",178252,null,null
"30-2022",178268,null,null
"147-2022",177628,null,null
"164-2022",177490,null,null
"241-2019",177413,null,null
"66-2020",177283,null,null
"355-2019",177180,195967,null
"355-2019",177180,195967,null
"223-2022",177022,183498,null
"267-2021",176953,null,null
"297-2021",176956,183499,null
"344-2019",176567,null,null
"15-2022",176430,null,null
"159-2020",176205,null,null
"136-2021",176030,195962,null
"136-2021",176030,null,null
"13-2022",175579,null,null
"117-2022",175574,null,null
"130-2021",175500,null,null
"131-2022",175499,null,null
"186-2022",175157,null,null
"263-2020",175139,null,null
"71-2022",174856,183496,null
"275-2020",174714,null,null
"133-2021",174504,null,null
"130-2022",174089,null,null
"278-2020",174113,null,null
"289-2021",173676,null,null
"231-2021",173569,null,null
"232-2021",173587,null,null
"271-2021",173488,195989,null
"67-2020",173345,179702,null
"369-2019",173017,null,null
"26-2022",172717,null,null
"17-2022",172638,null,null
"50-2021",172373,null,null
"146-2021",172384,181298,null
"200-2022",172145,183495,null
"376-2019",172089,null,null
"293-2021",171286,null,null
"221-2020",171215,null,null
"248-2021",171115,null,null
"106-2022",171120,null,null
"332-2020",171020,null,null
"227-2021",170844,184046,null
"284-2021",170743,null,null
"299-2021",170588,null,null
"196-2020",170502,null,null
"143-2021",170425,null,null
"176-2021",170223,null,null
"102-2021",169821,null,null
"117-2021",169662,null,null
"280-2019",169661,null,null
"73-2022",169592,null,null
"283-2021",169434,null,null
"258-2020",169296,null,null
"323-2019",168928,null,null
"390-2019",168869,181125,null
"238-2021",168837,203225,null
"7-2022",168680,null,null
"103-2021",168391,null,null
"83-2021",167988,178771,null
"31-2021",167707,null,null
"268-2020",167641,177267,null
"178-2021",167629,null,null
